,StationID,Longitude,Latitude,Height,Remark
21692,8590541,8.616896,47.416585,441,"Dietlikon, Dornenstrasse"
21693,8590542,8.619558,47.413509000000005,436,"Dietlikon, Dübendorferstrasse"
21694,8590543,8.618518,47.426390999999995,442,"Dietlikon, Hofwiesen"
21695,8590544,8.614545,47.412139,437,"Dietlikon, Hörnligraben"
21696,8590545,8.621946000000001,47.414249,434,"Dietlikon, Industriestrasse"
21697,8590547,8.620394000000001,47.387909,442,"Dübendorf, Alterszentrum"
21698,8590548,8.624255999999999,47.400741,442,"Dübendorf, Bahnhof Nord"
21699,8590549,8.634576,47.394815,439,"Dübendorf, Bauhof"
21700,8590550,8.625618,47.397048,441,"Dübendorf, Bettlistrasse"
21701,8590551,8.631155,47.394662,441,"Dübendorf, Branzenäsch"
21702,8590552,8.605876,47.395720000000004,436,"Dübendorf, Breitibach"
21703,8590553,8.625196,47.405471999999996,433,"Dübendorf, Chriesmatt"
21704,8590554,8.616489,47.396997999999996,436,"Dübendorf, City Center"
21705,8590555,8.628708999999999,47.394876000000004,441,"Dübendorf, Claridenstrasse"
21706,8590556,8.630995,47.405871000000005,435,"Dübendorf, Eglishölzli"
21707,8590557,8.611443,47.401871,432,"Dübendorf, EMPA"
21708,8590558,8.627406,47.402382,436,"Dübendorf, Flugplatz"
21709,8590559,8.647466,47.393071,444,"Dübendorf, Gfenn"
21710,8590561,8.607660000000001,47.402152,430,"Dübendorf, Giessen"
21711,8590562,8.629932,47.396239,439,"Dübendorf, Glärnischstrasse"
21712,8590563,8.617158,47.391288,439,"Dübendorf, Grüzenstrasse"
21713,8590565,8.652011,47.394292,447,"Dübendorf, Heidenrietstrasse"
21714,8590566,8.599181,47.396085,439,"Dübendorf, Hoffnung"
21715,8590567,8.614718,47.391781,438,"Dübendorf, Högler"
21716,8590568,8.617583999999999,47.401556,433,"Dübendorf, Im Grund"
21717,8590569,8.596653,47.38949,484,"Dübendorf, Kämmaten"
21718,8590570,8.618201,47.389334999999996,440,"Dübendorf, Kirche Wil"
21719,8590571,8.621512,47.388149,443,"Dübendorf, Kreuzbühl"
21720,8590573,8.628914,47.389216,438,"Dübendorf, Kunsteisbahn"
21721,8590574,8.645746,47.394906,440,"Dübendorf, Lindenbühl"
21722,8590575,8.620298,47.398506,434,"Dübendorf, Lindenplatz"
21723,8590576,8.613608000000001,47.396703,436,"Dübendorf, Meiershofstrasse"
21724,8590577,8.616315,47.399923,433,"Dübendorf, Memphis"
21725,8590578,8.604274,47.404831,430,"Wallisellen, Neugut"
21726,8590579,8.601356,47.402845,431,"Dübendorf, Neugut Süd"
21727,8590580,8.616908,47.396166,437,"Dübendorf, Post"
21728,8590581,8.634874,47.391556,448,"Dübendorf, Raubbühl"
21729,8590582,8.607272,47.40015,431,"Dübendorf, Ringstrasse"
